isin;name
LU2278487157;Pangaea Life Umbrella S.A., SICAV-RAIF - Blue Energy, Aktienklasse C
LU2721526247;Pangaea Life Blue One Living SCA SICAV-RAIF, Kommanditaktienklasse C
LU1665237613;M&G (Lux) Global Listed Infrastructure - EUR A Dis
LU0104884860;Pictet - Water-P EUR
LU1883320480;Amundi Funds Global Ecology ESG - R2 EUR (C)
FR0013275252;Amundi Responsible Investing - Impact Green Bonds R2 (D) Euro dist
BE0948492260;DPAM B Equities Europe Sustainable F EUR
BE0948502365;DPAM B Equities NewGems Sustainable F EUR
BE0948500344;DPAM B Equities World Sustainable F EUR
LU0907928062;DPAM L Bonds Emerging Markets Sustainable F
LU0841604316;Nordea 1 - Emerging Stars Equity Fund BC-EUR
LU1706108146;Nordea 1 - European Stars Equity Fund BC-EUR
LU0144509717;Pictet - Quest Europe Sustainable Equities P EUR
LU1861137484;Amundi Index MSCI Europe SRI PAB - UCITS ETF DR - EUR (C)
IE00B3DKXQ41;iShares € Aggregate Bond ESG UCITS ETF EUR (Dist) Share Class
IE00BZ02LR44;Xtrackers MSCI World ESG UCITS ETF 1C
IE00BYX2JD69;iShares MSCI World ESG Enhanced ETF
LU1675428244;Aquila Capital Anteilsklasse B
